Name,Customer_ID,Account_Number,Meter_Number,Age,Location,Income,Purchase_Frequency,Purchase_History,Churn_Status,Customer_Satisfaction_Score,Average_Resolution_Time_Hours,Complaint_Frequency,Transaction_DateTime,Transaction_Reference,Receipt_Number,Payment_Type,Meter_Type,Tariff_Class,Amount_Paid,Units_Purchased,Token,VAT,Service_Charge,Debt_Arrears,Previous_Meter_Reading,Current_Meter_Reading,Energy_Consumption,Billing_Cycle,Billing_Accuracy,Power_Outage_Frequency,Power_Outage_Duration_Hours,Service_Usage
Tina Williams,CUST500000,AEDC100000,MTR200000,46,"Gwagwalada, Abuja, Nigeria",56391,11,34149.3,No,3.88,30.5,3,2025-08-07 02:06:30.295594,e7a873a2-3f9e-4266-a3a0-212d1bf921b4,RCPT300000,Mobile App,Postpaid,A,3614.02,35.84,,271.05,1374.03,95.31,5674,5709,35,Jun-2025,0.97,8,4.26,323.31
Crystal Hill,CUST500001,AEDC100001,MTR200001,50,"Apo, Abuja, Nigeria",47059,7,14923.63,No,3.72,32.35,2,2026-01-29 18:24:09.537323,3f551358-ea11-4dde-b298-ef6ea778dc89,RCPT300001,Cash,Prepaid,B,1994.74,16.67,68416941651225411212,149.61,1377.09,6260.4,2438,2454,16,Mar-2025,0.85,4,11.23,20.0
Joy Sanchez,CUST500002,AEDC100002,MTR200002,32,"Maitama, Abuja, Nigeria",30000,9,8351.26,No,3.55,22.16,2,2025-05-01 04:42:39.810000,bf5b2d8b-88e0-4316-949d-8c2235c11d98,RCPT300002,POS,Postpaid,A,1060.22,13.72,,79.52,2305.53,14660.09,2885,2898,13,Feb-2025,0.81,6,16.61,26.15
Chelsea Anderson,CUST500003,AEDC100003,MTR200003,36,"Gwagwalada, Abuja, Nigeria",30000,12,20455.28,No,4.04,31.03,0,2025-11-15 20:55:37.032684,2af994ec-8619-4a9b-b5dc-d9c1542911b0,RCPT300003,POS,Postpaid,A,1526.15,19.27,,114.46,1178.2,14752.71,6881,6900,19,Feb-2025,0.84,5,12.96,269.8
Christina Serrano,CUST500004,AEDC100004,MTR200004,42,"Lugbe, Abuja, Nigeria",72897,11,26725.03,No,4.49,25.54,0,2026-03-06 13:48:47.877083,b4cf4ba3-e2b5-45d2-9398-2ab0a7d8e477,RCPT300004,Transfer,Postpaid,C,2506.17,30.37,,187.96,1060.13,27326.15,4061,4091,30,May-2025,0.94,5,5.12,383.67
Cindy Matthews,CUST500005,AEDC100005,MTR200005,24,"Gwarinpa, Abuja, Nigeria",74949,14,76409.76,No,4.4,20.5,0,2025-04-03 18:50:47.702229,8548ef7b-5836-4d4f-91a4-735e216c467d,RCPT300005,Mobile App,Prepaid,A,4931.65,64.59,11316986471594363603,369.87,361.44,22783.49,2565,2629,64,May-2025,0.95,4,7.86,882.56
Deborah Calhoun,CUST500006,AEDC100006,MTR200006,34,"Kurudu, Abuja, Nigeria",36930,9,44869.45,No,4.38,33.63,0,2025-10-21 07:58:54.075971,ade1fd43-fae6-4b2d-a694-c3c7fda3b840,RCPT300006,POS,Prepaid,B,3695.26,30.49,64270741241293145268,277.14,2012.68,12574.69,1272,1302,30,Jan-2025,1.0,4,5.73,304.42
Benjamin Johnson,CUST500007,AEDC100007,MTR200007,19,"Asokoro, Abuja, Nigeria",68816,9,70071.15,No,3.91,21.78,4,2025-07-31 06:00:44.727279,690555c2-7b4e-4c26-9eaa-fd99382d2ae8,RCPT300007,POS,Postpaid,A,8196.93,92.94,,614.77,466.56,4624.81,2773,2865,92,May-2025,0.89,1,1.47,845.37
Adam Simon,CUST500008,AEDC100008,MTR200008,41,"Karu, Abuja, Nigeria",115249,7,88811.9,Yes,4.39,19.9,0,2026-02-22 06:11:34.872173,3f2f8315-bbe7-4343-ad0d-0bac63a79da9,RCPT300008,Transfer,Postpaid,C,10340.51,140.33,,775.54,469.11,22884.31,3565,3705,140,Mar-2025,0.88,3,8.19,1030.12
Kristine Sharp,CUST500009,AEDC100009,MTR200009,42,"Apo, Abuja, Nigeria",60986,7,32678.45,Yes,3.97,27.41,3,2025-04-04 14:18:51.632087,817d9347-5a9f-4a4b-85e6-afe1708d1cc9,RCPT300009,POS,Postpaid,A,4636.33,59.33,,347.72,1630.75,34818.41,3711,3770,59,Jan-2025,0.79,5,3.16,412.14
